idx,lower,upper,steps,time
149, -7.124673843383789, -6.067109547944856, 1, 0.813263092
150, 1.0374524593353271, 3.3505696721543736, 1, 0.772985215
151, -6.142667531967163, -5.1165187741234135, 1, 0.802133679
153, -6.219429969787598, -3.2401778722562913, 1, 0.802973366
154, -1.9165735244750977, 1.050966270814273, 47, 60.877280185
155, -5.88546895980835, -1.759752773639856, 1, 1.537984026
156, -6.7211761474609375, -4.71493355388175, 1, 0.716987749
157, -3.648606777191162, -0.8414597092731917, 1, 0.81025732
158, -5.4606773853302, -3.6003676594387715, 1, 0.725173876
159, -0.2591891288757324, 2.1054458671645175, 49, 61.089249679
160, -4.388858318328857, -0.22025606534755937, 1, 1.530529423
161, -6.090074062347412, -5.048686186221623, 1, 0.725071818
162, -6.036202430725098, -1.984543785236804, 1, 0.798152374
163, -7.520180702209473, -7.061866084077027, 1, 0.768040301
164, -4.108165740966797, -3.042598063812287, 1, 0.765091877
165, -4.934266567230225, -0.8762871386376316, 1, 0.781854732
166, -5.063251733779907, -2.8826119496713933, 1, 0.764367141
167, -4.552511215209961, -2.036739199598202, 1, 0.784561826
168, -2.232556104660034, 1.9165273426134517, 46, 60.806672165
169, -5.952999114990234, -3.291920560274062, 1, 0.829972487
170, -4.6213698387146, -2.6875414057327807, 1, 0.780034313
171, -4.493383884429932, -2.921125450257401, 1, 0.781314762
172, -1.7624850273132324, -0.29379045478088406, 1, 0.800158369
173, -0.745781421661377, 0.40721608299485323, 49, 60.497795088
174, -3.7381834983825684, -2.026395638742165, 1, 0.809061191
175, -7.261327028274536, -5.622866051837578, 1, 0.781390191
176, -3.0766689777374268, 2.5209449349085458, 44, 60.331642402
177, -5.343707084655762, -0.00038374204925872846, 30, 41.381250348
178, -5.862146615982056, -4.265552855438652, 1, 0.787835682
179, -7.130774259567261, -4.795685040125074, 1, 0.797378454
180, -5.917408227920532, -4.914043329058794, 1, 0.801336911
181, -6.018226861953735, -2.7372137670946826, 1, 0.808953365
182, -6.137272000312805, -4.623178299245673, 1, 0.765735951
183, -3.3509914875030518, 0.11059928434137323, 47, 60.63421798
184, -8.280988097190857, -7.741350272464196, 1, 0.769597818
185, -2.031310558319092, -0.4017570538330344, 1, 0.830855156
186, -0.32753610610961914, 0.7241705332830337, 46, 60.601423373
187, -3.112914562225342, -1.9625422522620575, 1, 0.765611268
188, -2.491067886352539, -0.15153547932514577, 1, 0.795486706
189, -8.330536842346191, -7.558925635946512, 1, 0.872757467
190, -2.1445436477661133, 3.5780334140065966, 44, 60.639365323
191, -4.493158578872681, -1.6732862323642554, 1, 0.786161506
192, -2.4650659561157227, 1.1615417438265685, 44, 60.189164771
193, -7.420567750930786, -6.2280478257854766, 1, 0.782764225
194, -1.945418357849121, 0.7059476804733844, 46, 60.948533171
195, -6.3558149337768555, -5.000860077324475, 1, 0.770735816
196, -0.1758565902709961, 6.620242938086893, 44, 61.078969927
197, -4.787260293960571, -2.44853203901615, 1, 0.810817401
198, -8.058559894561768, -6.545734968040232, 1, 0.846117659
199, -3.8621649742126465, -1.3612731599749206, 1, 0.807583594
200, -4.409303665161133, -3.4971738860698265, 1, 0.780695545
201, -0.6490540504455566, 0.08455524486891708, 47, 60.76144555
202, -7.462823390960693, -5.746834210648925, 1, 0.806074424
203, -6.2998833656311035, -1.6714516608778354, 1, 0.83730442
204, -6.727967381477356, -1.8890141600767798, 1, 0.85434878
205, -4.605963945388794, 1.8907858483598785, 43, 60.436424127
206, -5.859119892120361, -3.0164764563882143, 1, 0.801990303
207, -3.715766668319702, -1.5519780860757133, 1, 0.799195163
208, -4.757309913635254, -2.25580286835283, 1, 0.803330912
209, -8.248307466506958, -6.944502640023494, 1, 0.803528799
210, -3.287437677383423, -1.081587365312259, 1, 0.65176466
211, -4.225101947784424, -0.1874567742326949, 1, 0.865861118
212, 0.12755060195922852, 4.282094637933632, 1, 0.81920673
213, -4.736312627792358, -2.387066030199442, 1, 0.643173593
214, -3.1482391357421875, 0.08663201939561649, 46, 60.891943662
215, -2.4375903606414795, -1.4199597273742, 1, 0.785709919
216, -6.186426520347595, -5.360094190943237, 1, 0.841912321
217, -8.71196722984314, -7.633513627099429, 1, 0.785101299
218, 1.420860767364502, 4.171826611066057, 1, 0.816596715
219, -0.9871320724487305, 3.4685261907246776, 45, 60.675986675
220, -7.632032871246338, -6.179495233339697, 1, 0.794184499
221, -3.937760353088379, -2.242790673913535, 1, 0.792815292
222, -0.28437185287475586, 0.8048157171610884, 49, 60.040745232
223, -5.09537410736084, -4.3504357031755605, 1, 0.759029492
224, -5.506704807281494, -3.846806424872392, 1, 0.661070024
225, -2.981416702270508, 7.458887277904416, 44, 60.629135394
226, -3.6994242668151855, -2.434544344096337, 1, 0.851131814
227, -5.686527729034424, -4.816823036088921, 1, 0.783685042
228, -4.968950510025024, -1.2338927498945167, 1, 0.827242788
229, -6.331178903579712, -3.136569184599682, 1, 0.809634405
230, -5.857763767242432, -3.272830644048398, 1, 0.674183754
231, -3.766608476638794, -1.8055139218421523, 1, 0.789760655
232, -5.317020893096924, -1.2953953025284637, 1, 0.808270628
233, -1.7711668014526367, -0.02074925223279589, 1, 0.793785875
234, 0.7045185565948486, 2.9213327634580337, 1, 0.785302856
235, -3.881834030151367, -1.6798095710965906, 1, 0.812162256
236, -3.477466106414795, 0.3273485872148978, 46, 60.98257468
237, -3.35931396484375, -2.4124088682087077, 1, 0.800561594
238, -5.583608627319336, -2.2030038019403335, 1, 0.817177742
239, -5.906364440917969, -4.855287550646921, 1, 0.794229801
240, -7.002312898635864, -4.425818350740237, 1, 0.821373415
